,parties,p_names,file_list
446,BÜ90/GR,Dieter Janecek,
447,BÜ90/GR,Lamya Kaddor,
448,BÜ90/GR,Dr. Kirsten Kappert-Gonther,
449,BÜ90/GR,Michael Kellner,
450,BÜ90/GR,Katja Keul,
451,BÜ90/GR,Misbah Khan,
452,BÜ90/GR,Sven-Christian Kindler,
453,BÜ90/GR,Maria Klein-Schmeink,
454,BÜ90/GR,Chantal Kopf,
455,BÜ90/GR,Laura Kraft,
456,BÜ90/GR,Philip Krämer,
457,BÜ90/GR,Oliver Krischer,
458,BÜ90/GR,Christian Kühn (Tübingen),
459,BÜ90/GR,Renate Künast,
460,BÜ90/GR,Markus Kurth,
461,BÜ90/GR,Ricarda Lang,
462,BÜ90/GR,Sven Lehmann,
463,BÜ90/GR,Steffi Lemke,
464,BÜ90/GR,Anja Liebert,
465,BÜ90/GR,Helge Limburg,
466,BÜ90/GR,Dr. Tobias Lindner,
467,BÜ90/GR,Denise Loop,
468,BÜ90/GR,Max Lucks,
469,BÜ90/GR,Dr. Anna Lührmann,
470,BÜ90/GR,Zoe Mayer,
471,BÜ90/GR,Susanne Menge,
472,BÜ90/GR,Swantje Henrike Michaelsen,
473,BÜ90/GR,Dr. Irene Mihalic,
474,BÜ90/GR,Boris Mijatovic,
475,BÜ90/GR,Claudia Müller,
476,BÜ90/GR,Sascha Müller,
477,BÜ90/GR,Beate Müller-Gemmeke,
478,BÜ90/GR,Sara Nanni,
479,BÜ90/GR,Dr. Ingrid Nestle,
480,BÜ90/GR,Dr. Ophelia Nick,
481,BÜ90/GR,Dr. Konstantin von Notz,
482,BÜ90/GR,Omid Nouripour,
483,BÜ90/GR,Karoline Otte,
484,BÜ90/GR,Cem Özdemir,
485,BÜ90/GR,Julian Pahlke,
486,BÜ90/GR,Lisa Paus,
487,BÜ90/GR,Dr. Paula Piechotta,
488,BÜ90/GR,Filiz Polat,
489,BÜ90/GR,Dr. Anja Reinalter,
490,BÜ90/GR,Tabea Rößner,
491,BÜ90/GR,Claudia Roth (Augsburg),
492,BÜ90/GR,Dr. Manuela Rottmann,
493,BÜ90/GR,Corinna Rüffer,
494,BÜ90/GR,Kassem Taher Saleh,
495,BÜ90/GR,Jamila Schäfer,
496,BÜ90/GR,Dr. Sebastian Schäfer,
497,BÜ90/GR,Ulle Schauws,
498,BÜ90/GR,Stefan Schmidt,
499,BÜ90/GR,Marlene Schönberger,
500,BÜ90/GR,Christina-Johanne Schröder,
501,BÜ90/GR,Kordula Schulz-Asche,
502,BÜ90/GR,Melis Sekmen,
503,BÜ90/GR,Nyke Slawik,
504,BÜ90/GR,Dr. Anne Monika Spallek,
505,BÜ90/GR,Merle Spellerberg,
506,BÜ90/GR,Nina Stahr,
507,BÜ90/GR,Dr. Till Steffen,
508,BÜ90/GR,Hanna Steinmüller,
509,BÜ90/GR,Dr. Wolfgang Strengmann-Kuhn,
510,BÜ90/GR,Awet Tesfaiesus,
511,BÜ90/GR,Jürgen Trittin,
512,BÜ90/GR,Katrin Uhlig,
513,BÜ90/GR,Dr. Julia Verlinden,
514,BÜ90/GR,Niklas Wagener,
515,BÜ90/GR,Robin Wagener,
516,BÜ90/GR,Johannes Wagner,
517,BÜ90/GR,Beate Walter-Rosenheimer,
518,BÜ90/GR,Saskia Weishaupt,
519,BÜ90/GR,Stefan Wenzel,
520,BÜ90/GR,Tina Winklmann,
521,FDP,Valentin Abel,
522,FDP,Katja Adler,
523,FDP,Muhanad Al-Halak,
524,FDP,Renata Alt,
525,FDP,Christine Aschenberg-Dugnus,
526,FDP,Nicole Bauer,
527,FDP,Jens Beeck,
528,FDP,Ingo Bodtke,
529,FDP,Friedhelm Boginski,
530,FDP,Dr. Jens Brandenburg (Rhein-Neckar),
531,FDP,Mario Brandenburg (Südpfalz),
532,FDP,Sandra Bubendorfer-Licht,
533,FDP,Dr. Marco Buschmann,
534,FDP,Karlheinz Busen,
535,FDP,Carl-Julius Cronenberg,
536,FDP,Bijan Djir-Sarai,
537,FDP,Christian Dürr,
538,FDP,Dr. Marcus Faber,
539,FDP,Daniel Föst,
540,FDP,Otto Fricke,
541,FDP,Maximilian Funke-Kaiser,
542,FDP,Martin Gassner-Herz,
543,FDP,Knut Gerschau,
544,FDP,Thomas Hacker,
545,FDP,Reginald Hanke,
546,FDP,Philipp Hartewig,
547,FDP,Ulrike Harzer,
548,FDP,Peter Heidt,
549,FDP,Katrin Helling-Plahr,
550,FDP,Markus Herbrand,
551,FDP,Torsten Herbst,
552,FDP,Katja Hessel,
553,FDP,Dr. Gero Clemens Hocker,
554,FDP,Manuel Höferlin,
555,FDP,Dr. Christoph Hoffmann,
556,FDP,Reinhard Houben,
557,FDP,Olaf In der Beek,
558,FDP,Gyde Jensen,
559,FDP,Dr. Ann-Veruschka Jurisch,
560,FDP,Karsten Klein,
561,FDP,Daniela Kluckert,
562,FDP,Pascal Kober,
563,FDP,Dr. Lukas Köhler,
564,FDP,Carina Konrad,
565,FDP,Michael Kruse,
566,FDP,Wolfgang Kubicki,
567,FDP,Konstantin Kuhle,
568,FDP,Alexander Graf Lambsdorff,
569,FDP,Ulrich Lechte,
570,FDP,Jürgen Lenders,
571,FDP,Dr. Thorsten Lieb,
572,FDP,Lars Lindemann,
573,FDP,Christian Lindner,
574,FDP,Michael Georg Link (Heilbronn),
575,FDP,Oliver Luksic,
576,FDP,Kristine Lütke,
577,FDP,Till Mansmann,
578,FDP,Anikó Merten,
579,FDP,Christoph Meyer,
580,FDP,Maximilian Mordhorst,
581,FDP,Alexander Müller,
582,FDP,Frank Müller-Rosentritt,
583,FDP,Claudia Raffelhüschen,
584,FDP,Dr. Volker Redder,
585,FDP,Hagen Reinhold,
586,FDP,Bernd Reuther,
587,FDP,Dr. h. c. Thomas Sattelberger,
588,FDP,Christian Sauter,
589,FDP,Frank Schäffler,
590,FDP,Ria Schröder,
591,FDP,Anja Schulz,
592,FDP,Matthias Seestern-Pauly,
593,FDP,Dr. Stephan Seiter,
594,FDP,Rainer Semet,
595,FDP,Judith Skudelny,
596,FDP,Bettina Stark-Watzinger,
597,FDP,Konrad Stockmeier,
598,FDP,Dr. Marie-Agnes Strack-Zimmermann,
599,FDP,Benjamin Strasser,
600,FDP,Linda Teuteberg,
601,FDP,Jens Teutrine,
602,FDP,Michael Theurer,
603,FDP,Stephan Thomae,
604,FDP,Nico Tippelt,
605,FDP,Manfred Todtenhausen,
606,FDP,Dr. Florian Toncar,
607,FDP,Dr. Andrew Ullmann,
608,FDP,Gerald Ullrich,
609,FDP,Johannes Vogel (Olpe),
610,FDP,Sandra Weeser,
611,FDP,Nicole Westig,
612,FDP,Dr. Volker Wissing,
613,AfD,Carolin Bachmann,
614,AfD,Dr. Christina Baum,
615,AfD,Dr. Bernd Baumann,
616,AfD,Roger Beckamp,
617,AfD,Marc Bernhard,
618,AfD,Andreas Bleck,
619,AfD,René Bochmann,
620,AfD,Peter Boehringer,
621,AfD,Gereon Bollmann,
622,AfD,Dirk Brandes,
623,AfD,Stephan Brandner,
624,AfD,Jürgen Braun,
625,AfD,Marcus Bühl,
626,AfD,Petr Bystron,
627,AfD,Tino Chrupalla,
628,AfD,Joana Cotar,
629,AfD,Dr. Gottfried Curio,
630,AfD,Thomas Dietz,
631,AfD,Thomas Ehrhorn,
632,AfD,Dr. Michael Espendiller,
633,AfD,Robert Farle,
634,AfD,Peter Felser,
635,AfD,Dietmar Friedhoff,
636,AfD,Markus Frohnmaier,
637,AfD,Dr. Götz Frömming,
638,AfD,Dr. Alexander Gauland,
639,AfD,Albrecht Glaser,
640,AfD,Hannes Gnauck,
641,AfD,Kay Gottschalk,
642,AfD,Mariana Iris Harder-Kühnel,
643,AfD,Jochen Haug,
644,AfD,Martin Hess,
645,AfD,Karsten Hilse,
646,AfD,Nicole Höchst,
647,AfD,Leif-Erik Holm,
648,AfD,Johannes Huber,
649,AfD,Gerrit Huy,
650,AfD,Fabian Jacobi,
651,AfD,Steffen Janich,
652,AfD,Dr. Marc Jongen,
653,AfD,Dr. Malte Kaufmann,
654,AfD,Dr. Michael Kaufmann,
655,AfD,Stefan Keuter,
656,AfD,Norbert Kleinwächter,
657,AfD,Enrico Komning,
658,AfD,Jörn König,
659,AfD,Steffen Kotré,
660,AfD,Dr. Rainer Kraft,
661,AfD,Barbara Lenk,
662,AfD,Rüdiger Lucassen,
663,AfD,Corinna Miazga,
664,AfD,Mike Moncsek,
665,AfD,Matthias Moosdorf,
666,AfD,Sebastian Münzenmaier,
667,AfD,Edgar Naujok,
668,AfD,Jan Ralf Nolte,
669,AfD,Gerold Otten,
