25,24,time,mNr
0.0,0.0,1731489942790800,20
0.0,0.0,1731489942791200,20
0.0,0.0,1731489942791600,20
0.0,0.0,1731489942792000,20
0.0,0.0,1731489942792400,20
0.0,0.0,1731489942792800,20
0.0,0.0,1731489942793200,20
0.0,0.0,1731489942793600,20
0.436898,0.40752,1731489942794000,20
0.436898,-0.040752,1731489942794400,20
0.79436,0.774288,1731489942794800,20
0.39718,0.855792,1731489942795200,20
2.105054,0.040752,1731489942795600,20
0.39718,-0.529776,1731489942796000,20
0.119154,-0.285264,1731489942796400,20
0.357462,-0.081504,1731489942796800,20
0.357462,0.0,1731489942797200,20
1.151822,0.40752,1731489942797600,20
-0.357462,-1.344816,1731489942798000,20
0.0,-1.22256,1731489942798400,20
0.635488,-0.529776,1731489942798800,20
0.119154,-1.141056,1731489942799200,20
0.79436,-1.263312,1731489942799600,20
-1.072386,-1.589328,1731489942800000,20
-1.231258,-0.81504,1731489942800400,20
-0.317744,-0.20376,1731489942800800,20
-0.19859,-0.529776,1731489942801200,20
-0.317744,0.163008,1731489942801600,20
-0.834078,-0.978048,1731489942802000,20
-0.754642,-0.163008,1731489942802400,20
-0.913514,-0.489024,1731489942802800,20
-0.317744,0.244512,1731489942803200,20
-1.032668,0.896544,1731489942803600,20
-0.516334,0.244512,1731489942804000,20
0.119154,0.326016,1731489942804400,20
-0.238308,0.774288,1731489942804800,20
1.032668,0.448272,1731489942805200,20
0.158872,0.733536,1731489942805600,20
0.754642,0.978048,1731489942806000,20
-0.39718,0.978048,1731489942806400,20
1.072386,0.652032,1731489942806800,20
0.714924,0.529776,1731489942807200,20
0.278026,0.40752,1731489942807600,20
0.79436,-0.326016,1731489942808000,20
1.668156,0.081504,1731489942808400,20
0.913514,0.448272,1731489942808800,20
0.714924,-0.570528,1731489942809200,20
0.675206,-0.570528,1731489942809600,20
0.238308,-0.40752,1731489942810000,20
-0.516334,-0.163008,1731489942810400,20
0.635488,-0.81504,1731489942810800,20
0.59577,-0.366768,1731489942811200,20
-0.19859,0.122256,1731489942811600,20
-0.913514,-0.733536,1731489942812000,20
-0.516334,-1.181808,1731489942812400,20
0.238308,-0.285264,1731489942812800,20
0.357462,-0.855792,1731489942813200,20
-0.834078,-1.752336,1731489942813600,20
-0.99295,-0.326016,1731489942814000,20
-1.78731,-0.448272,1731489942814400,20
-0.39718,0.040752,1731489942814800,20
0.0,0.326016,1731489942815200,20
-1.707874,-0.489024,1731489942815600,20
-1.19154,-0.896544,1731489942816000,20
-2.105054,0.081504,1731489942816400,20
-0.476616,0.937296,1731489942816800,20
0.79436,1.181808,1731489942817200,20
0.079436,-0.122256,1731489942817600,20
-0.913514,1.141056,1731489942818000,20
0.556052,1.263312,1731489942818400,20
0.278026,1.141056,1731489942818800,20
1.549002,0.692784,1731489942819200,20
0.953232,0.81504,1731489942819600,20
0.476616,0.366768,1731489942820000,20
0.0,0.20376,1731489942820400,20
1.310694,0.0,1731489942820800,20
0.39718,-0.040752,1731489942821200,20
0.913514,0.489024,1731489942821600,20
0.119154,-0.529776,1731489942822000,20
0.158872,-0.122256,1731489942822400,20
1.19154,-0.244512,1731489942822800,20
