time,Bm X,Bm Y
1642489203538.8,-0.031484,-0.031594
1642489203539.2,0.881552,0.410722
1642489203539.5999,0.692648,0.221158
1642489203540.0,0.15742,-0.221158
1642489203540.4001,0.409292,-0.221158
1642489203540.8,0.377808,-0.94782
1642489203541.2,-0.47226,-0.15797
1642489203541.6,0.094452,0.663474
1642489203542.0,0.346324,0.31594
1642489203542.4,0.7871,-0.031594
1642489203542.8,0.62968,-0.63188
1642489203543.2,0.125936,0.126376
1642489203543.6,-0.503744,-0.189564
1642489203544.0,-0.47226,0.347534
1642489203544.4,0.346324,0.284346
1642489203544.8,0.062968,-0.758256
1642489203545.2002,0.661164,0.284346
1642489203545.5999,0.094452,-0.031594
1642489203546.0,0.7871,-0.410722
1642489203546.4001,-0.251872,0.0
1642489203546.7998,-0.094452,-0.094782
1642489203547.2,0.094452,-0.189564
1642489203547.6,-0.31484,-0.221158
1642489203548.0,0.062968,-0.15797
1642489203548.4,-0.220388,-0.347534
1642489203548.8,-0.409292,-0.31594
1642489203549.2,0.283356,-0.189564
1642489203549.5999,-0.283356,-0.284346
1642489203550.0,0.125936,0.284346
1642489203550.4,0.94452,-0.15797
1642489203550.8,0.0,-0.537098
1642489203551.2,0.220388,-1.074196
1642489203551.6,-0.346324,-0.189564
1642489203552.0,0.0,0.410722
1642489203552.4001,0.598196,-0.252752
1642489203552.8,0.409292,-0.189564
1642489203553.2,-0.188904,-0.695068
1642489203553.6,0.15742,-0.126376
1642489203554.0,-0.283356,0.379128
1642489203554.4,-0.566712,0.31594
1642489203554.8,-0.125936,-0.189564
1642489203555.2002,0.724132,0.0
1642489203555.5999,-0.220388,0.15797
1642489203556.0,-0.094452,-0.600286
1642489203556.4001,0.125936,0.63188
1642489203556.7998,0.220388,0.47391
1642489203557.2,-0.503744,0.0
1642489203557.6,-0.062968,-0.189564
1642489203558.0,0.535228,0.0
1642489203558.4,0.125936,0.442316
1642489203558.8,0.094452,0.126376
1642489203559.2,-0.031484,-0.15797
1642489203559.6,0.062968,0.189564
1642489203560.0,-0.251872,0.537098
1642489203560.4,0.188904,-0.600286
1642489203560.8,-0.566712,-0.126376
1642489203561.2,0.440776,0.568692
1642489203561.5999,-0.47226,0.094782
1642489203562.0,0.377808,-0.442316
1642489203562.4001,0.094452,-0.126376
1642489203562.8,-0.062968,-0.094782
1642489203563.2,0.598196,-0.284346
1642489203563.6,0.062968,0.094782
1642489203564.0,1.038972,0.568692
1642489203564.4,0.125936,-0.031594
1642489203564.8,0.15742,-0.126376
1642489203565.2002,-0.15742,0.031594
1642489203565.5999,0.220388,0.284346
1642489203566.0,0.251872,-0.189564
1642489203566.4001,-0.188904,-0.379128
1642489203566.8,0.0,0.189564
1642489203567.2,0.094452,0.0
1642489203567.6,0.094452,0.126376
1642489203568.0,-0.094452,-0.063188
1642489203568.4,-0.283356,-0.031594
1642489203568.8,-0.377808,-0.347534
1642489203569.2,0.094452,0.15797
1642489203569.6,-0.503744,0.410722
1642489203570.0,0.346324,0.284346
1642489203570.4,0.251872,0.252752
1642489203570.8,0.15742,0.031594
1642489203571.2,-0.47226,-0.663474
1642489203571.5999,-0.409292,-0.252752
1642489203572.0,-0.31484,-0.284346
1642489203572.4001,-0.125936,0.379128
1642489203572.7998,0.031484,-0.252752
1642489203573.2,0.283356,-0.347534
1642489203573.6,-0.346324,-0.379128
1642489203574.0,-0.818584,-0.221158
1642489203574.4,-0.251872,-0.537098
1642489203574.8,0.251872,-0.094782
1642489203575.2002,0.062968,0.031594
1642489203575.5999,-0.188904,-0.094782
1642489203576.0,0.31484,0.189564
1642489203576.4001,0.031484,-0.126376
1642489203576.8,-0.503744,0.094782
1642489203577.2,-0.062968,-0.221158
1642489203577.6,-0.15742,0.31594
1642489203578.0,-0.031484,0.600286
1642489203578.4,-0.15742,0.379128
1642489203578.8,-0.283356,0.410722
1642489203579.2,0.0,-0.126376
1642489203579.6,-0.47226,0.568692
1642489203580.0,-0.062968,-0.284346
1642489203580.4,0.15742,0.47391
1642489203580.8,0.566712,0.15797
1642489203581.2,-0.503744,0.221158
1642489203581.5999,-0.062968,0.126376
1642489203582.0,0.0,0.0
1642489203582.4001,0.094452,0.379128
1642489203582.7998,0.598196,-0.126376
1642489203583.2,0.346324,-0.063188
1642489203583.6,1.10194,0.31594
1642489203584.0,0.440776,-0.126376
1642489203584.4,-0.031484,-0.284346
1642489203584.8,0.0,-0.221158
1642489203585.2,-0.47226,-0.410722
1642489203585.5999,0.47226,-0.063188
1642489203586.0,0.094452,0.505504
1642489203586.4001,-0.062968,0.379128
1642489203586.8,0.220388,0.0
1642489203587.2,-0.251872,0.126376
1642489203587.6,-0.440776,-0.758256
1642489203588.0,-0.15742,0.15797
1642489203588.4,-0.47226,-0.505504
1642489203588.8,0.440776,-0.284346
1642489203589.2,0.692648,0.15797
1642489203589.6,0.062968,-0.15797
1642489203590.0,0.0,-0.221158
1642489203590.4,-0.031484,-0.410722
1642489203590.8,-0.188904,0.0
1642489203591.2002,-0.283356,0.063188
1642489203591.5999,-0.535228,-0.347534
1642489203592.0,0.031484,-0.63188
1642489203592.4001,-0.251872,-0.31594
1642489203592.7998,0.0,-0.821444
1642489203593.2,0.0,-0.821444
1642489203593.6,0.0,-0.821444
1642489203594.0,0.0,-0.821444
1642489203594.4,0.0,-0.821444
1642489203594.8,0.0,-0.821444
1642489203595.2,0.0,-0.821444
1642489203595.5999,0.0,-0.821444
1642489203596.0,-0.503744,0.252752
1642489203596.4,-0.535228,0.442316
1642489203596.8,0.15742,0.063188
1642489203597.2,0.0,-0.15797
1642489203597.6,0.0,0.252752
1642489203598.0,-0.535228,-0.094782
1642489203598.4001,-0.31484,0.47391
1642489203598.8,-0.283356,-0.347534
1642489203599.2,-0.15742,-0.063188
1642489203599.6,-0.220388,0.31594
1642489203600.0,-0.409292,-0.252752
1642489203600.4,0.377808,0.094782
1642489203600.8,0.377808,0.884632
1642489203601.2002,0.220388,-0.284346
1642489203601.5999,0.094452,0.15797
1642489203602.0,0.0,0.505504
1642489203602.4001,-0.377808,-0.347534
1642489203602.7998,-0.062968,0.15797
1642489203603.2,0.724132,0.568692
1642489203603.6,0.15742,-0.221158
1642489203604.0,-0.251872,0.0
1642489203604.4,-0.377808,-0.31594
1642489203604.8,-0.125936,0.031594
1642489203605.2,-0.409292,-0.568692
1642489203605.6,0.094452,-0.47391
1642489203606.0,0.15742,0.505504
1642489203606.4,0.566712,0.379128
1642489203606.8,0.47226,-0.347534
1642489203607.2,-0.125936,-0.758256
1642489203607.5999,-0.031484,-0.126376
1642489203608.0,-0.062968,-0.537098
1642489203608.4001,-0.440776,-0.15797
1642489203608.8,0.094452,-0.126376
1642489203609.2,0.440776,-0.252752
1642489203609.6,0.15742,-0.221158
1642489203610.0,0.15742,-0.442316
1642489203610.4,0.062968,0.189564
1642489203610.8,-0.251872,-0.505504
1642489203611.2002,0.220388,-0.252752
1642489203611.5999,0.062968,-0.537098
1642489203612.0,0.062968,-0.379128
1642489203612.4001,0.251872,-0.189564
1642489203612.7998,-0.283356,-0.126376
1642489203613.2,-0.503744,-0.442316
1642489203613.6,-0.47226,-0.252752
1642489203614.0,0.346324,0.189564
1642489203614.4,0.15742,0.758256
1642489203614.8,0.31484,0.442316
1642489203615.2,-0.188904,-0.47391
1642489203615.6,-0.283356,0.252752
1642489203616.0,-0.283356,0.094782
1642489203616.4,-0.850068,0.600286
1642489203616.8,0.220388,0.284346
1642489203617.2,0.47226,0.126376
1642489203617.5999,0.31484,0.0
1642489203618.0,0.031484,-0.031594
1642489203618.4001,0.031484,-0.505504
1642489203618.7998,-0.251872,0.15797
1642489203619.2,0.377808,0.252752
1642489203619.6,-0.125936,0.031594
1642489203620.0,0.409292,0.126376
1642489203620.4,0.377808,-0.063188
1642489203620.8,-0.062968,-0.031594
1642489203621.2002,0.440776,-0.189564
1642489203621.5999,0.125936,0.600286
1642489203622.0,-0.503744,-0.379128
1642489203622.4001,-0.31484,0.47391
1642489203622.8,-0.094452,0.15797
1642489203623.2,0.47226,0.063188
1642489203623.6,0.598196,-0.347534
1642489203624.0,-0.283356,-0.252752
1642489203624.4,-0.409292,-0.600286
1642489203624.8,-0.094452,-0.347534
1642489203625.2,0.125936,0.379128
1642489203625.6,-0.125936,0.442316
1642489203626.0,0.283356,0.47391
1642489203626.4,0.47226,-0.379128
1642489203626.8,0.692648,0.0
1642489203627.2,-0.692648,-0.221158
1642489203627.5999,0.220388,-0.47391
1642489203628.0,-0.283356,0.284346
1642489203628.4001,0.220388,0.284346
1642489203628.7998,-0.220388,0.189564
1642489203629.2,-0.251872,-0.15797
1642489203629.6,-0.062968,0.284346
1642489203630.0,-0.598196,0.600286
1642489203630.4,0.15742,0.0
1642489203630.8,0.503744,-0.726662
1642489203631.2002,-0.062968,0.094782
1642489203631.5999,0.15742,-0.063188
1642489203632.0,0.377808,-0.537098
1642489203632.4001,-0.031484,0.221158
1642489203632.8,0.094452,0.31594
1642489203633.2,-0.377808,-0.347534
1642489203633.6,-0.188904,-0.221158
1642489203634.0,0.566712,0.47391
1642489203634.4,-0.346324,-0.031594
1642489203634.8,0.094452,0.0
1642489203635.2,-0.062968,0.726662
